event,level,capture_efficiency,risk_duration,ghost_proximity,input_density,survival_time,timestamp
player_death,3,43.79,0.183,0.32,0,0.348,1778337403.2
trail_close,3,22.84,2.979,8.43,6,4.833,1778337408.034
player_death,3,66.63,1.737,0.4,5,2.136,1778337410.169
trail_close,3,1.58,0.248,2.97,0,2.476,1778337412.645
trail_close,3,0.42,0.25,2.55,1,0.577,1778337413.222
trail_close,3,4.63,0.752,2.71,0,1.42,1778337414.642
trail_close,3,3.89,0.664,7.61,0,0.912,1778337415.555
trail_close,3,8.53,0.993,4.43,2,1.238,1778337416.793
trail_close,4,4.42,0.999,15.88,1,3.459,1778337420.252
trail_close,4,13.26,2.147,5.35,1,3.195,1778337423.447
trail_close,4,1.26,1.001,1.72,3,1.822,1778337425.269
trail_close,4,2.32,0.904,12.4,0,1.652,1778337426.921
trail_close,4,5.37,0.736,1.66,0,5.414,1778337432.335
trail_close,4,2.0,1.578,17.45,0,3.813,1778337436.148
trail_close,4,2.63,0.749,6.0,1,1.439,1778337437.588
trail_close,4,6.0,1.491,6.91,2,1.571,1778337439.159
trail_close,4,5.89,0.66,4.66,0,2.065,1778337441.224
trail_close,4,0.11,0.083,7.44,1,0.334,1778337441.557
player_death,4,43.26,1.285,6.5,3,1.786,1778337443.343
trail_close,4,44.21,1.567,8.24,2,3.055,1778337446.399
trail_close,5,21.05,2.085,10.33,0,3.688,1778337450.086
trail_close,5,1.05,0.499,8.16,1,1.01,1778337451.097
trail_close,5,1.68,1.164,5.87,3,1.91,1778337453.007
trail_close,5,0.95,0.421,3.49,1,0.867,1778337453.874
trail_close,5,8.63,1.824,5.82,3,2.41,1778337456.284
trail_close,5,0.42,0.331,4.84,0,0.991,1778337457.275
trail_close,5,1.26,0.332,5.31,0,0.677,1778337457.952
trail_close,5,3.37,1.33,6.28,0,1.495,1778337459.446
trail_close,5,4.63,3.858,4.79,7,4.568,1778337464.015
player_death,5,43.05,1.671,3.31,1,2.417,1778337466.432
player_death,5,43.05,0.25,0.52,0,3.14,1778337469.572
trail_close,5,8.42,0.661,12.39,0,3.172,1778337472.745
trail_close,5,0.21,0.166,8.63,1,0.246,1778337472.99
trail_close,5,37.68,2.321,4.52,2,2.405,1778337475.396
trail_close,6,18.42,2.072,14.58,0,3.407,1778337478.803
trail_close,6,2.42,1.9,6.24,1,3.577,1778337482.38
trail_close,6,7.68,1.49,13.31,3,1.9,1778337484.28
trail_close,6,5.68,1.514,6.77,1,1.845,1778337486.126
trail_close,6,11.05,2.171,13.62,6,3.161,1778337489.287
trail_close,6,17.37,2.577,5.0,1,2.658,1778337491.945
trail_close,6,1.68,0.577,9.25,1,1.276,1778337493.222
trail_close,6,14.74,1.078,7.72,0,2.205,1778337495.427
player_death,6,79.05,0.478,1.55,1,2.253,1778337497.68
trail_close,6,2.53,0.249,14.1,0,5.529,1778337503.21
trail_close,7,5.37,1.327,8.76,3,2.466,1778337505.676
trail_close,7,0.95,0.581,7.04,1,2.119,1778337507.795
trail_close,7,3.68,0.917,18.9,1,1.573,1778337509.369
player_death,7,10.0,0.731,5.36,0,1.123,1778337510.492
trail_close,7,9.37,1.669,6.4,2,2.67,1778337513.162
trail_close,7,3.16,0.829,5.22,1,1.885,1778337515.047
trail_close,7,0.32,0.251,5.26,1,2.011,1778337517.058
trail_close,7,0.11,0.086,4.81,1,1.097,1778337518.155
trail_close,7,1.68,0.585,4.14,1,0.919,1778337519.073
trail_close,7,5.16,1.497,9.38,3,1.911,1778337520.984
trail_close,7,0.84,0.415,8.68,1,0.655,1778337521.639
trail_close,7,3.16,1.16,2.66,3,2.237,1778337523.876
trail_close,7,0.42,0.252,6.12,1,0.503,1778337524.379
trail_close,7,1.26,0.67,14.28,1,1.336,1778337525.715
trail_close,7,0.74,0.591,1.66,1,1.426,1778337527.141
trail_close,7,8.11,2.085,14.01,3,4.135,1778337531.276
trail_close,7,2.21,1.817,1.93,4,5.961,1778337537.237
trail_close,7,2.0,1.581,3.11,2,1.662,1778337538.898
trail_close,7,0.11,0.082,2.27,1,0.163,1778337539.062
player_death,7,48.63,1.102,8.76,1,1.269,1778337540.331
trail_close,7,3.05,0.33,6.44,0,3.306,1778337543.637
trail_close,7,3.16,1.149,6.42,2,1.473,1778337545.11
trail_close,7,15.16,1.323,10.65,2,2.279,1778337547.389
trail_close,7,1.68,0.435,5.54,1,1.231,1778337548.62
trail_close,7,2.11,0.197,3.45,0,0.344,1778337548.964
trail_close,7,0.32,0.304,2.36,1,0.355,1778337549.319
trail_close,7,1.68,0.818,5.5,1,0.869,1778337550.188
trail_close,7,11.37,0.748,5.07,0,5.734,1778337555.922
trail_close,8,25.26,2.572,8.41,4,6.521,1778337562.443
trail_close,8,0.42,0.331,5.42,1,1.837,1778337564.28
trail_close,8,4.84,1.747,9.18,3,2.23,1778337566.509
trail_close,8,1.58,1.252,3.19,1,1.5,1778337568.009
trail_close,8,8.0,1.497,5.89,1,2.013,1778337570.022
player_death,8,40.11,2.467,3.14,4,3.296,1778337573.318
trail_close,8,14.53,2.308,3.23,1,4.703,1778337578.022
trail_close,8,15.16,0.741,5.43,0,2.067,1778337580.089
player_death,8,69.79,1.874,5.4,4,3.607,1778337583.696
trail_close,8,0.21,0.533,2.43,2,6.224,1778337589.92
trail_close,8,0.95,0.75,5.91,0,1.334,1778337591.254
trail_close,8,5.47,0.663,8.52,0,1.801,1778337593.055
trail_close,8,0.11,0.13,8.73,1,0.216,1778337593.271
trail_close,8,2.74,0.499,3.44,1,4.498,1778337597.769
trail_close,8,1.05,0.166,4.0,0,1.772,1778337599.541
trail_close,9,15.79,2.053,22.12,0,3.355,1778337602.896
player_death,9,15.79,0.816,4.15,1,1.459,1778337604.356
trail_close,9,26.32,2.048,19.37,0,4.818,1778337609.174
trail_close,9,5.79,1.228,12.36,1,3.591,1778337612.764
trail_close,9,3.16,0.828,3.74,1,1.911,1778337614.675
trail_close,9,2.84,0.751,11.36,0,1.512,1778337616.187
trail_close,9,3.37,0.907,15.43,1,1.75,1778337617.937
trail_close,9,10.95,1.81,4.63,4,4.934,1778337622.871
player_death,9,68.21,0.541,0.22,0,3.315,1778337626.186
trail_close,9,3.79,0.741,11.89,0,4.722,1778337630.908
trail_close,9,2.21,0.584,4.97,0,3.492,1778337634.4
trail_close,9,0.42,0.333,5.84,1,1.073,1778337635.473
trail_close,9,0.95,0.41,7.26,1,1.696,1778337637.169
trail_close,9,2.42,0.743,7.84,1,0.989,1778337638.158
trail_close,9,0.63,0.501,4.39,2,1.529,1778337639.687
trail_close,9,0.63,0.331,7.53,1,1.092,1778337640.78
trail_close,9,0.21,0.168,8.57,1,1.028,1778337641.807
trail_close,9,1.05,0.499,7.66,1,1.411,1778337643.218
trail_close,10,12.53,1.92,9.33,1,3.635,1778337646.854
trail_close,10,6.42,1.821,6.46,2,2.379,1778337649.233
trail_close,10,5.47,1.33,7.05,1,2.435,1778337651.668
trail_close,10,1.26,0.763,3.89,2,1.309,1778337652.977
trail_close,10,5.68,1.165,6.78,1,1.81,1778337654.786
trail_close,10,0.95,0.615,2.15,2,0.944,1778337655.73
trail_close,10,2.11,0.667,6.71,1,2.369,1778337658.1
